City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
598,Ukiah,US,88.12,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
599,Puerto Carreno,CO,78.39,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
600,Garowe,SO,76.77,broken clouds,8.4054,48.4845,Curubo Hotel
602,Dalbandin,PK,78.22,clear sky,28.8947,64.4101,Gidaan Guest House
610,Pleasanton,US,87.42,clear sky,37.6624,-121.8747,Four Points by Sheraton Pleasanton
612,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
617,Lubao,PH,87.82,overcast clouds,14.9167,120.55,Hacienda Gracia
619,Zhicheng,CN,77.76,light rain,30.2956,111.5047,Wangjiang Building
620,Lorengau,PG,78.66,very heavy rain,-2.0226,147.2712,Lorengau Harbourside Hotel
622,Charleston,US,76.01,broken clouds,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
623,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
625,Sulangan,PH,83.61,overcast clouds,11.1373,123.7228,Maia's Beach Resort
629,Villarrica,PY,85.46,broken clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
632,Namatanai,PG,83.64,light rain,-3.6667,152.4333,Seagulls Inn Namatani
635,Karratha,AU,82.15,clear sky,-20.7377,116.8463,ibis Styles Karratha
637,Oussouye,SN,79.41,broken clouds,12.485,-16.5469,Auberge du Routard
638,Babu,CN,84.43,scattered clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
641,Aloleng,PH,83.12,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
644,Wahiawa,US,80.92,clear sky,21.5028,-158.0236,Aloha Wahiawa
648,Salinopolis,BR,79.23,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
650,Acajutla,SV,80.64,light rain,13.5928,-89.8275,asi es
653,Port-Gentil,GA,77.52,light rain,-0.7193,8.7815,Fengshui Residence
659,Lucea,JM,84.06,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
665,Houma,US,79.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
678,Mackay,AU,83.68,broken clouds,-21.15,149.2,International Lodge Motel
679,Oda,JP,77.77,broken clouds,35.1833,132.5,Sky Hotel Oda
680,Soyo,AO,75.27,overcast clouds,-6.1349,12.3689,Hotel Mpampa
681,Saint Anthony,US,75.7,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
