City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
324,Camargo,MX,27.6667,-105.1667,79.07,26,8,5.35,clear sky
325,Hobyo,SO,5.3505,48.5268,77.88,88,93,17.13,overcast clouds
326,Gaogou,CN,34.0175,119.1886,73.98,70,99,4.83,light rain
327,Guerrero Negro,MX,27.9769,-114.0611,70.41,63,0,13.29,clear sky
328,Boyolangu,ID,-8.1181,111.8935,78.12,80,98,8.05,overcast clouds
329,Japura,ID,-0.3167,102.35,74.35,89,100,3.29,light rain
330,Gotsu,JP,35.0,132.2167,77.14,71,99,10.56,overcast clouds
331,Tautira,PF,-17.7333,-149.15,84.22,77,27,15.26,light rain
332,La Ronge,CA,55.1001,-105.2842,62.85,34,75,6.91,broken clouds
333,Talara,PE,-4.5772,-81.2719,64.9,86,81,12.41,broken clouds
334,Bubaque,GW,11.2833,-15.8333,82.56,77,39,8.43,light rain
335,Salinas,US,36.6777,-121.6555,86.4,42,1,9.22,clear sky
336,Omboue,GA,-1.5746,9.2618,76.19,87,100,7.58,overcast clouds
337,Virar,IN,19.4667,72.8,78.89,89,100,5.35,overcast clouds
338,Vryburg,ZA,-26.9566,24.7284,62.73,75,15,15.5,light rain
339,Krasnaya Gora,RU,52.9995,31.6023,37.31,82,42,5.57,scattered clouds
340,Dolores,AR,-36.3132,-57.6792,56.16,98,100,5.32,overcast clouds
341,Bonavista,CA,48.6499,-53.1147,56.12,99,100,6.33,overcast clouds
342,Jiaojiang,CN,28.6803,121.4428,82.0,78,3,1.97,light rain
343,Muravlenko,RU,63.7898,74.523,31.21,93,100,19.6,overcast clouds
344,Batagay-Alyta,RU,67.8006,130.4114,25.7,56,18,2.39,few clouds
345,Mitu,CO,1.1983,-70.1733,74.77,83,89,0.94,overcast clouds
346,Mazyr,BY,52.0495,29.2456,39.94,79,9,6.53,clear sky
347,Sydney,AU,-33.8679,151.2073,78.31,61,0,1.99,light rain
