City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Hailar,2021-09-29 01:20:30,49.2,119.7,38.93,55,5,17.22
144,Mataram,2021-09-29 01:20:31,-8.5833,116.1167,81.41,71,94,9.66
145,Siguiri,2021-09-29 01:20:31,11.6667,-9.5,76.41,73,0,2.46
146,Nome,2021-09-29 01:20:31,64.5011,-165.4064,37.47,49,90,6.91
147,Rockland,2021-09-29 01:20:32,41.1668,-74.0496,68.45,85,34,6.46
148,Chokurdakh,2021-09-29 01:18:03,70.6333,147.9167,26.67,93,91,8.05
149,Te Anau,2021-09-29 01:17:06,-45.4167,167.7167,50.04,83,98,7.52
150,Neuquen,2021-09-29 01:20:32,-38.9516,-68.0591,66.09,26,0,0.0
151,Howard Springs,2021-09-29 01:20:33,-12.497,131.047,89.98,65,22,3.89
152,Longyearbyen,2021-09-29 01:17:03,78.2186,15.6401,37.24,70,75,14.97
153,Esperance,2021-09-29 01:17:35,-33.8667,121.9,58.84,72,95,10.71
154,San Patricio,2021-09-29 01:20:33,28.017,-97.5169,85.86,71,3,17.27
155,Road Town,2021-09-29 01:17:34,18.4167,-64.6167,83.19,73,3,12.55
156,Tadine,2021-09-29 01:20:34,-21.55,167.8833,74.25,62,64,14.67
157,Bethel,2021-09-29 01:20:34,41.3712,-73.414,65.48,92,20,0.0
158,Alofi,2021-09-29 01:20:34,-19.0595,-169.9187,78.69,83,75,13.8
159,Amapa,2021-09-29 01:20:35,1.0,-52.0,76.69,67,1,4.27
160,Naro-Fominsk,2021-09-29 01:20:35,55.3875,36.7331,34.16,93,14,3.91
161,Porto Novo,2021-09-29 01:16:06,6.4965,2.6036,78.62,89,100,5.48
162,Lewistown,2021-09-29 01:20:36,40.5992,-77.5714,64.9,95,1,0.0
163,Gushikawa,2021-09-29 01:20:36,26.3544,127.8686,85.62,70,20,14.97
164,Khuzdar,2021-09-29 01:20:36,27.7384,66.6434,75.07,60,1,2.91
165,Geraldton,2021-09-29 01:20:36,-28.7667,114.6,70.21,64,50,10.36
166,Maxixe,2021-09-29 01:20:37,-23.8597,35.3472,70.74,92,0,5.61
167,Kokopo,2021-09-29 01:20:37,-4.352,152.2633,85.95,64,60,10.33
168,Umm Lajj,2021-09-29 01:20:38,25.0213,37.2685,78.57,64,1,10.98
169,Guerrero Negro,2021-09-29 01:20:38,27.9769,-114.0611,71.46,69,1,15.93
170,Lethem,2021-09-29 01:20:38,3.3803,-59.7968,83.05,55,20,4.47
171,Kavieng,2021-09-29 01:20:39,-2.5744,150.7967,85.24,69,21,7.83
172,Sabang,2021-09-29 01:20:39,5.8933,95.3214,79.7,78,100,7.78
173,Treinta Y Tres,2021-09-29 01:20:39,-33.2333,-54.3833,53.42,97,43,8.08
174,Pisco,2021-09-29 01:20:40,-13.7,-76.2167,62.65,82,0,3.44
175,Kuandian,2021-09-29 01:20:40,40.7286,124.7847,63.97,88,100,1.19
176,Tasiilaq,2021-09-29 01:20:40,65.6145,-37.6368,33.96,51,100,4.07
177,Tilichiki,2021-09-29 01:20:41,60.4667,166.1,28.87,78,100,14.38
178,Itoman,2021-09-29 01:20:41,26.1247,127.6694,86.4,70,20,13.8
179,Yakeshi,2021-09-29 01:20:41,49.2833,120.7333,38.17,57,6,16.73
180,Fortuna,2021-09-29 01:20:42,40.5982,-124.1573,63.48,69,20,1.99
181,Ostrovnoy,2021-09-29 01:20:42,68.0531,39.5131,49.42,76,100,10.54
182,Matata,2021-09-29 01:20:42,-37.8833,176.75,64.58,52,77,11.54
183,Port Elizabeth,2021-09-29 01:20:43,-33.918,25.5701,57.49,67,0,10.36
184,Moose Factory,2021-09-29 01:20:43,51.2585,-80.6094,46.4,87,90,4.61
185,Nizhniy Kuranakh,2021-09-29 01:20:43,58.8353,125.4869,35.44,98,100,7.92
186,Barao De Melgaco,2021-09-29 01:20:44,-16.1944,-55.9675,86.52,47,2,5.01
187,Ilulissat,2021-09-29 01:20:44,69.2167,-51.1,26.62,39,41,10.36
188,Fort Nelson,2021-09-29 01:18:31,58.8053,-122.7002,40.59,93,90,3.44
189,Zonnebeke,2021-09-29 01:20:44,50.8726,2.9873,56.66,84,100,5.99
190,Egvekinot,2021-09-29 01:20:45,66.3167,-179.1667,25.5,93,100,3.15
191,Pringsewu,2021-09-29 01:20:45,-5.3582,104.9744,79.88,84,100,1.21
192,Hammerfest,2021-09-29 01:20:45,70.6634,23.6821,45.05,76,0,0.0
193,Hofn,2021-09-29 01:20:46,64.2539,-15.2082,38.44,69,100,10.85
194,Alexandria,2021-09-29 01:17:26,31.2156,29.9553,76.89,58,0,10.54
195,Hamilton,2021-09-29 01:16:43,39.1834,-84.5333,73.76,82,1,0.0
196,Black Forest,2021-09-29 01:17:03,39.0131,-104.7008,62.6,42,40,1.01
197,Mahebourg,2021-09-29 01:20:46,-20.4081,57.7,72.25,60,75,17.27
198,Yining,2021-09-29 01:20:47,29.0361,114.5636,75.27,93,100,3.51
199,Ulladulla,2021-09-29 01:20:47,-35.35,150.4667,71.87,57,100,6.71
200,Surazh,2021-09-29 01:20:47,53.0175,32.3918,43.74,78,100,7.38
201,Pingliang,2021-09-29 01:20:48,35.5392,106.6861,63.21,76,18,3.0
202,San Vicente,2021-09-29 01:20:48,-26.6167,-54.1333,63.41,96,98,7.56
203,Bartica,2021-09-29 01:20:48,6.4,-58.6167,79.12,91,5,2.55
204,Adwa,2021-09-29 01:20:49,14.1646,38.8955,61.59,61,22,1.61
205,Olga,2021-09-29 01:20:49,43.7444,135.2892,65.05,90,100,3.31
206,Kulhudhuffushi,2021-09-29 01:20:49,6.6221,73.07,82.04,77,35,14.65
207,Semey,2021-09-29 01:20:50,50.4111,80.2275,50.22,87,75,6.71
208,Mount Gambier,2021-09-29 01:20:50,-37.8333,140.7667,62.87,60,100,10.0
209,Nemuro,2021-09-29 01:20:50,43.3236,145.575,64.83,71,100,11.74
210,Olinda,2021-09-29 01:20:51,-8.0089,-34.8553,78.53,78,75,13.8
